0 p1 1; p2 50.0; p3 0.42496679946879146; 
250 p1 1; p2 50.0; p3 0.42496679946879146; 
250 p1 1; p2 58.79120879120879; p3 0.05312084993359893; 
250 p1 1; p2 64.28571428571428; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 70.87912087912088; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 54.395604395604394; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 55.494505494505496; p3 0.21248339973439573; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.21248339973439573; 
250 p1 1; p2 50.0; p3 0.3187250996015936; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.3187250996015936; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.37184594953519257; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 63.18681318681318; p3 0.05312084993359893; 
250 p1 1; p2 57.69230769230769; p3 1.1686586985391765; 
250 p1 1; p2 52.1978021978022; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 0.6905710491367861; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 1.593625498007968; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
