Year 1980; Global_Sales_Activision 4.541693768700403; Average_Critic_Score_Activision 6.88; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1980; Global_Sales_Activision 4.541693768700403; Average_Critic_Score_Activision 6.88; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1981; Global_Sales_Activision 11.045531416677507; Average_Critic_Score_Activision 6.325; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1982; Global_Sales_Activision 3.047742942630415; Average_Critic_Score_Activision 5.4625; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1983; Global_Sales_Activision 3.1507740340835175; Average_Critic_Score_Activision 6.2999999995; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1984; Global_Sales_Activision 1.0; Average_Critic_Score_Activision 10.0; Min_Max_Sales_Activision -1; Min_Max_Score_Activision 1; 
Year 1985; Global_Sales_Activision 1.2704566150643943; Average_Critic_Score_Activision 1.0; Min_Max_Sales_Activision 0; Min_Max_Score_Activision -1; 
Year 1987; Global_Sales_Activision 2.0947053466892154; Average_Critic_Score_Activision 7.15; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1988; Global_Sales_Activision 1.6181865487186158; Average_Critic_Score_Activision 2.425; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1989; Global_Sales_Activision 1.2575777286327565; Average_Critic_Score_Activision 1.6; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1994; Global_Sales_Activision 3.3310784441264474; Average_Critic_Score_Activision 4.75; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1995; Global_Sales_Activision 6.074281254065305; Average_Critic_Score_Activision 7.75; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1996; Global_Sales_Activision 3.1636529205151556; Average_Critic_Score_Activision 4.9; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1997; Global_Sales_Activision 3.936386106413425; Average_Critic_Score_Activision 7.75; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1998; Global_Sales_Activision 10.362950435800702; Average_Critic_Score_Activision 5.5214285709999995; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 1999; Global_Sales_Activision 10.401587095095618; Average_Critic_Score_Activision 6.7375; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2000; Global_Sales_Activision 19.300897619357357; Average_Critic_Score_Activision 6.1; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2001; Global_Sales_Activision 24.594119942760504; Average_Critic_Score_Activision 7.0717391305; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2002; Global_Sales_Activision 34.06010147001431; Average_Critic_Score_Activision 6.481000000000001; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2003; Global_Sales_Activision 28.17445037075582; Average_Critic_Score_Activision 7.957352941000001; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2004; Global_Sales_Activision 51.176141537660975; Average_Critic_Score_Activision 6.9361702135; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2005; Global_Sales_Activision 46.1791336021855; Average_Critic_Score_Activision 6.393571429000001; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2006; Global_Sales_Activision 22.932743593079227; Average_Critic_Score_Activision 5.523999999999999; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2007; Global_Sales_Activision 82.17562117861323; Average_Critic_Score_Activision 4.985999999499999; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2008; Global_Sales_Activision 86.7605047482763; Average_Critic_Score_Activision 5.970454546; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2009; Global_Sales_Activision 100.0; Average_Critic_Score_Activision 5.413223140000001; Min_Max_Sales_Activision 1; Min_Max_Score_Activision 0; 
Year 2010; Global_Sales_Activision 81.36425133342006; Average_Critic_Score_Activision 4.73483146; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2011; Global_Sales_Activision 66.24443866267724; Average_Critic_Score_Activision 4.5760000000000005; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2012; Global_Sales_Activision 67.84142058020034; Average_Critic_Score_Activision 6.2607142855; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2013; Global_Sales_Activision 55.70950956159749; Average_Critic_Score_Activision 4.525; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2014; Global_Sales_Activision 58.43983348510471; Average_Critic_Score_Activision 5.2558139530000005; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2015; Global_Sales_Activision 46.848835696630665; Average_Critic_Score_Activision 5.1644736835; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
Year 2016; Global_Sales_Activision 16.725120333029793; Average_Critic_Score_Activision 7.138000000000001; Min_Max_Sales_Activision 0; Min_Max_Score_Activision 0; 
