0 Year 1980; Global_Sales_Atari 39.34117647058823; Average_Critic_Score_Atari 5.571428571428571; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1980; Global_Sales_Atari 39.34117647058823; Average_Critic_Score_Atari 5.571428571428571; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1981; Global_Sales_Atari 39.764705882352935; Average_Critic_Score_Atari 9.55844155857143; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1982; Global_Sales_Atari 91.43529411764706; Average_Critic_Score_Atari 8.326530612857143; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1983; Global_Sales_Atari 15.952941176470588; Average_Critic_Score_Atari 7.238095238571428; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1984; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1985; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1986; Global_Sales_Atari 3.1058823529411765; Average_Critic_Score_Atari 10.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 1; 
250 Year 1987; Global_Sales_Atari 4.047058823529412; Average_Critic_Score_Atari 8.107142857142858; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1988; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1989; Global_Sales_Atari 0.7058823529411764; Average_Critic_Score_Atari 1.1428571428571428; Min_Max_Sales_Atari 0; Min_Max_Score_Atari -1; 
250 Year 1990; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1991; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1992; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1993; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1994; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1995; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1996; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1997; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1998; Global_Sales_Atari 6.870588235294117; Average_Critic_Score_Atari 8.642857142857142; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 1999; Global_Sales_Atari 10.823529411764705; Average_Critic_Score_Atari 9.404761904285714; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2000; Global_Sales_Atari 22.635294117647057; Average_Critic_Score_Atari 7.071428571428571; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2001; Global_Sales_Atari 37.88235294117647; Average_Critic_Score_Atari 9.777777777142857; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2002; Global_Sales_Atari 100.0; Average_Critic_Score_Atari 9.568389057142856; Min_Max_Sales_Atari 1; Min_Max_Score_Atari 0; 
250 Year 2003; Global_Sales_Atari 80.18823529411763; Average_Critic_Score_Atari 8.403571428571428; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2004; Global_Sales_Atari 54.25882352941176; Average_Critic_Score_Atari 8.710622709999999; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2005; Global_Sales_Atari 39.34117647058823; Average_Critic_Score_Atari 8.662698412857141; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2006; Global_Sales_Atari 20.14117647058824; Average_Critic_Score_Atari 8.53416149; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2007; Global_Sales_Atari 52.89411764705883; Average_Critic_Score_Atari 8.801843318571429; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2008; Global_Sales_Atari 40.37647058823529; Average_Critic_Score_Atari 8.602678571428571; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2009; Global_Sales_Atari 20.988235294117647; Average_Critic_Score_Atari 9.62142857142857; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2010; Global_Sales_Atari 6.494117647058823; Average_Critic_Score_Atari 7.441558441428571; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2011; Global_Sales_Atari 1.0352941176470587; Average_Critic_Score_Atari 7.828571428571428; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2012; Global_Sales_Atari 0.23529411764705885; Average_Critic_Score_Atari 3.7142857142857144; Min_Max_Sales_Atari -1; Min_Max_Score_Atari 0; 
250 Year 2013; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2014; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2015; Global_Sales_Atari 0.0; Average_Critic_Score_Atari 0.0; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
250 Year 2016; Global_Sales_Atari 0.5176470588235293; Average_Critic_Score_Atari 7.914285714285714; Min_Max_Sales_Atari 0; Min_Max_Score_Atari 0; 
