0 Year 1980; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1980; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1981; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1982; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1983; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1984; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1985; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1986; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1987; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1988; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1989; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1990; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1991; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1992; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1993; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1994; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1995; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1996; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1997; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1998; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 1999; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 2000; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 2001; Global_Sales_Bethesda 0.0; Average_Critic_Score_Bethesda 0.0; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 2002; Global_Sales_Bethesda 5.278001611603546; Average_Critic_Score_Bethesda 4.200000000168; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda -1; 
250 Year 2003; Global_Sales_Bethesda 0.8058017727639002; Average_Critic_Score_Bethesda 4.800000000192; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 2004; Global_Sales_Bethesda 1.0072522159548751; Average_Critic_Score_Bethesda 6.300000000252; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 2005; Global_Sales_Bethesda 0.7655116841257051; Average_Critic_Score_Bethesda 8.880000000355201; Min_Max_Sales_Bethesda 0; Min_Max_Score_Bethesda 0; 
250 Year 2006; Global_Sales_Bethesda 0.4029008863819501; Average_Critic_Score_Bethesda 6.8400000002736; Min_Max_Sales_Bethesda -1; Min_Max_Score_Bethesda 0; 
