0 Year 1980; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1980; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1981; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1982; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1983; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1984; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1985; Global_Sales_Capcom 5.1840331778123385; Average_Critic_Score_Capcom 7.045454545454546; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1986; Global_Sales_Capcom 27.47537584240539; Average_Critic_Score_Capcom 9.469696969318182; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1987; Global_Sales_Capcom 4.199066874027994; Average_Critic_Score_Capcom 6.818181818181818; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1988; Global_Sales_Capcom 15.241057542768274; Average_Critic_Score_Capcom 4.6022727272727275; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom -1; 
250 Year 1989; Global_Sales_Capcom 8.657335406946604; Average_Critic_Score_Capcom 6.704545454545455; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1990; Global_Sales_Capcom 20.321410057024362; Average_Critic_Score_Capcom 5.530303030681818; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1991; Global_Sales_Capcom 11.560393986521515; Average_Critic_Score_Capcom 7.424242423863637; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1992; Global_Sales_Capcom 64.282011404873; Average_Critic_Score_Capcom 7.5; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1993; Global_Sales_Capcom 25.14256091238984; Average_Critic_Score_Capcom 6.363636363636363; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1994; Global_Sales_Capcom 0.8294453084499741; Average_Critic_Score_Capcom 10.0; Min_Max_Sales_Capcom -1; Min_Max_Score_Capcom 1; 
250 Year 1995; Global_Sales_Capcom 0.0; Average_Critic_Score_Capcom 0.0; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1996; Global_Sales_Capcom 6.946604458268533; Average_Critic_Score_Capcom 5.227272727272727; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1997; Global_Sales_Capcom 17.003628823224467; Average_Critic_Score_Capcom 7.1496212125000005; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1998; Global_Sales_Capcom 19.388284085018146; Average_Critic_Score_Capcom 5.584415584090909; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 1999; Global_Sales_Capcom 4.561949196474858; Average_Critic_Score_Capcom 5.568181818181818; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 2000; Global_Sales_Capcom 10.471747019180922; Average_Critic_Score_Capcom 8.136363636363637; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 2001; Global_Sales_Capcom 41.21306376360809; Average_Critic_Score_Capcom 7.670454545454546; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 2002; Global_Sales_Capcom 51.06272680145153; Average_Critic_Score_Capcom 7.488038277272727; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
250 Year 2003; Global_Sales_Capcom 47.33022291342665; Average_Critic_Score_Capcom 7.155425220454546; Min_Max_Sales_Capcom 0; Min_Max_Score_Capcom 0; 
