0 Year 1980; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1980; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1981; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1982; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1983; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1984; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1985; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1986; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1987; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1988; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1989; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1990; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1991; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1992; Global_Sales_EA 0.07035647279549717; Average_Critic_Score_EA 2.9501187649577245; Min_Max_Sales_EA -1; Min_Max_Score_EA -1; 
250 Year 1993; Global_Sales_EA 0.0; Average_Critic_Score_EA 0.0; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1994; Global_Sales_EA 0.7621951219512195; Average_Critic_Score_EA 9.619952494427363; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1995; Global_Sales_EA 3.9047842401500934; Average_Critic_Score_EA 4.92075145728915; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1996; Global_Sales_EA 9.26360225140713; Average_Critic_Score_EA 5.525306048476021; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1997; Global_Sales_EA 26.899624765478425; Average_Critic_Score_EA 4.704798099941275; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1998; Global_Sales_EA 35.11960600375234; Average_Critic_Score_EA 6.7168646087588355; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 1999; Global_Sales_EA 23.616322701688556; Average_Critic_Score_EA 7.128631464213915; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 2000; Global_Sales_EA 29.46763602251407; Average_Critic_Score_EA 8.535897633103502; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 2001; Global_Sales_EA 52.90806754221388; Average_Critic_Score_EA 9.715406287067568; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 2002; Global_Sales_EA 85.61210131332084; Average_Critic_Score_EA 9.481483481833026; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 2003; Global_Sales_EA 81.87148217636022; Average_Critic_Score_EA 9.675785944500742; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 2004; Global_Sales_EA 78.89305816135084; Average_Critic_Score_EA 9.643815942266748; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
250 Year 2005; Global_Sales_EA 78.3653846153846; Average_Critic_Score_EA 9.1792435591137; Min_Max_Sales_EA 0; Min_Max_Score_EA 0; 
