0 Year 1986; Global_Sales_Konami 18.127651792245796; Average_Critic_Score_Konami 7.965680473043045; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1986; Global_Sales_Konami 18.127651792245796; Average_Critic_Score_Konami 7.965680473043045; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1987; Global_Sales_Konami 3.4261155815654725; Average_Critic_Score_Konami 6.879289940550093; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1989; Global_Sales_Konami 3.13643013899049; Average_Critic_Score_Konami 3.300591715867428; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1990; Global_Sales_Konami 8.133504023408925; Average_Critic_Score_Konami 1.0; Min_Max_Sales_Konami 0; Min_Max_Score_Konami -1; 
250 Year 1991; Global_Sales_Konami 9.328456474030723; Average_Critic_Score_Konami 5.313609467251427; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1992; Global_Sales_Konami 1.0; Average_Critic_Score_Konami 7.30532544306247; Min_Max_Sales_Konami -1; Min_Max_Score_Konami 0; 
250 Year 1993; Global_Sales_Konami 1.7242136064374545; Average_Critic_Score_Konami 7.220118343326858; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1994; Global_Sales_Konami 6.250548646671545; Average_Critic_Score_Konami 6.185460692724949; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1995; Global_Sales_Konami 10.161302121433797; Average_Critic_Score_Konami 4.887573964739049; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1996; Global_Sales_Konami 14.108266276517924; Average_Critic_Score_Konami 7.478402366557235; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1997; Global_Sales_Konami 16.71543525969276; Average_Critic_Score_Konami 5.751548903585726; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1998; Global_Sales_Konami 55.786759326993426; Average_Critic_Score_Konami 7.166863905033522; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 1999; Global_Sales_Konami 55.31602048280907; Average_Critic_Score_Konami 5.808875739417331; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2000; Global_Sales_Konami 30.728968544257505; Average_Critic_Score_Konami 7.040083985702244; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2001; Global_Sales_Konami 79.32370153621069; Average_Critic_Score_Konami 7.659262630217315; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2002; Global_Sales_Konami 45.03218727139723; Average_Critic_Score_Konami 7.355675094184348; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2003; Global_Sales_Konami 50.644842721287496; Average_Critic_Score_Konami 8.810650887062218; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2004; Global_Sales_Konami 73.16788588149232; Average_Critic_Score_Konami 7.60355029597143; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2005; Global_Sales_Konami 53.90380395025604; Average_Critic_Score_Konami 7.160016905696568; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2006; Global_Sales_Konami 52.63643013899049; Average_Critic_Score_Konami 6.9993544914556525; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2007; Global_Sales_Konami 62.08741770299927; Average_Critic_Score_Konami 7.126246113461479; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2008; Global_Sales_Konami 100.0; Average_Critic_Score_Konami 7.416494082536499; Min_Max_Sales_Konami 1; Min_Max_Score_Konami 0; 
250 Year 2009; Global_Sales_Konami 57.81455742501829; Average_Critic_Score_Konami 6.612837228041997; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2010; Global_Sales_Konami 66.25164594001463; Average_Critic_Score_Konami 7.545049897631004; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2011; Global_Sales_Konami 36.08814923189466; Average_Critic_Score_Konami 6.844432490658252; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2012; Global_Sales_Konami 27.868324798829555; Average_Critic_Score_Konami 6.535798816305999; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2013; Global_Sales_Konami 19.069129480614485; Average_Critic_Score_Konami 6.847337277829713; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2014; Global_Sales_Konami 17.874177029992687; Average_Critic_Score_Konami 6.583307381084815; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
250 Year 2015; Global_Sales_Konami 24.609363569861014; Average_Critic_Score_Konami 10.0; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 1; 
250 Year 2016; Global_Sales_Konami 5.7798098024871996; Average_Critic_Score_Konami 7.539644970530668; Min_Max_Sales_Konami 0; Min_Max_Score_Konami 0; 
