0 Year 1984; Global_Sales_Namco 14.168646080760094; Average_Critic_Score_Namco 6.344186047069766; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1984; Global_Sales_Namco 14.168646080760094; Average_Critic_Score_Namco 6.344186047069766; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1985; Global_Sales_Namco 4.90356294536817; Average_Critic_Score_Namco 8.325581395348838; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1986; Global_Sales_Namco 22.86935866983373; Average_Critic_Score_Namco 3.469767441860465; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1987; Global_Sales_Namco 10.594299287410925; Average_Critic_Score_Namco 10.0; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 1; 
250 Year 1988; Global_Sales_Namco 9.465558194774347; Average_Critic_Score_Namco 10.0; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1989; Global_Sales_Namco 3.210451306413302; Average_Critic_Score_Namco 4.8930232558139535; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1990; Global_Sales_Namco 1.0; Average_Critic_Score_Namco 2.213953488372093; Min_Max_Sales_Namco -1; Min_Max_Score_Namco 0; 
250 Year 1991; Global_Sales_Namco 2.8812351543942993; Average_Critic_Score_Namco 7.013953488930232; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1992; Global_Sales_Namco 2.9282660332541566; Average_Critic_Score_Namco 6.986046511627907; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1993; Global_Sales_Namco 23.339667458432306; Average_Critic_Score_Namco 6.086046511627908; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1994; Global_Sales_Namco 6.126365795724465; Average_Critic_Score_Namco 8.967441859906977; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1995; Global_Sales_Namco 9.888836104513064; Average_Critic_Score_Namco 3.751374206883721; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1996; Global_Sales_Namco 14.450831353919241; Average_Critic_Score_Namco 1.0; Min_Max_Sales_Namco 0; Min_Max_Score_Namco -1; 
250 Year 1997; Global_Sales_Namco 27.85463182897862; Average_Critic_Score_Namco 3.9785330950697677; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1998; Global_Sales_Namco 25.597149643705464; Average_Critic_Score_Namco 5.544186046697674; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 1999; Global_Sales_Namco 21.270308788598577; Average_Critic_Score_Namco 5.538870432372094; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2000; Global_Sales_Namco 43.65700712589073; Average_Critic_Score_Namco 8.002657807069767; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2001; Global_Sales_Namco 35.097387173396676; Average_Critic_Score_Namco 7.767441861023256; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2002; Global_Sales_Namco 59.08313539192399; Average_Critic_Score_Namco 5.7436279069767435; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2003; Global_Sales_Namco 47.2313539192399; Average_Critic_Score_Namco 7.768655206697674; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2004; Global_Sales_Namco 23.857007125890735; Average_Critic_Score_Namco 7.371162790697674; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2005; Global_Sales_Namco 67.50166270783848; Average_Critic_Score_Namco 6.465343164651164; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2006; Global_Sales_Namco 52.92209026128265; Average_Critic_Score_Namco 5.989006343255815; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2007; Global_Sales_Namco 33.35724465558195; Average_Critic_Score_Namco 4.60939724744186; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2008; Global_Sales_Namco 48.830403800475054; Average_Critic_Score_Namco 6.3033989261395345; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2009; Global_Sales_Namco 76.34346793349168; Average_Critic_Score_Namco 6.959039760372093; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2010; Global_Sales_Namco 74.08598574821853; Average_Critic_Score_Namco 5.684784053395349; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2011; Global_Sales_Namco 100.0; Average_Critic_Score_Namco 5.968176254325581; Min_Max_Sales_Namco 1; Min_Max_Score_Namco 0; 
250 Year 2012; Global_Sales_Namco 71.92256532066509; Average_Critic_Score_Namco 5.525362517395349; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2013; Global_Sales_Namco 43.845130641330165; Average_Critic_Score_Namco 6.235215947534884; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2014; Global_Sales_Namco 41.634679334916854; Average_Critic_Score_Namco 6.392612858604651; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2015; Global_Sales_Namco 72.25178147268409; Average_Critic_Score_Namco 5.496828753302325; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
250 Year 2016; Global_Sales_Namco 38.53064133016627; Average_Critic_Score_Namco 7.300837209302326; Min_Max_Sales_Namco 0; Min_Max_Score_Namco 0; 
