Year 1983; Global_Sales_Nintendo 1.0; Average_Critic_Score_Nintendo 2.655734144371288; Min_Max_Sales_Nintendo -1; Min_Max_Score_Nintendo 0; 
Year 1983; Global_Sales_Nintendo 1.0; Average_Critic_Score_Nintendo 2.655734144371288; Min_Max_Sales_Nintendo -1; Min_Max_Score_Nintendo 0; 
Year 1984; Global_Sales_Nintendo 18.70598573348496; Average_Critic_Score_Nintendo 3.853931365022417; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1985; Global_Sales_Nintendo 20.95249664013233; Average_Critic_Score_Nintendo 5.606258532653067; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1986; Global_Sales_Nintendo 3.67124987077432; Average_Critic_Score_Nintendo 2.320645091974777; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1987; Global_Sales_Nintendo 1.5066163548020257; Average_Critic_Score_Nintendo 6.265557124478832; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1988; Global_Sales_Nintendo 14.038974465005687; Average_Critic_Score_Nintendo 6.859578627534503; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1989; Global_Sales_Nintendo 28.080946965781045; Average_Critic_Score_Nintendo 4.6865768896576805; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1990; Global_Sales_Nintendo 13.552827457872432; Average_Critic_Score_Nintendo 3.2823941918120063; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1991; Global_Sales_Nintendo 3.563785795513285; Average_Critic_Score_Nintendo 6.100355878769884; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1992; Global_Sales_Nintendo 14.893569730176782; Average_Critic_Score_Nintendo 8.011066464227035; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1993; Global_Sales_Nintendo 5.646541920810503; Average_Critic_Score_Nintendo 5.37706342353027; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1994; Global_Sales_Nintendo 8.179623694820634; Average_Critic_Score_Nintendo 7.864845786551793; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1995; Global_Sales_Nintendo 3.9475860643026977; Average_Critic_Score_Nintendo 6.329528670961752; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1996; Global_Sales_Nintendo 33.10617181846377; Average_Critic_Score_Nintendo 1.0; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo -1; 
Year 1997; Global_Sales_Nintendo 8.594127985113202; Average_Critic_Score_Nintendo 7.871875627105835; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1998; Global_Sales_Nintendo 20.16442675488473; Average_Critic_Score_Nintendo 3.0427888796090192; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 1999; Global_Sales_Nintendo 28.822960818773907; Average_Critic_Score_Nintendo 5.223734796042731; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 2000; Global_Sales_Nintendo 12.815930941796752; Average_Critic_Score_Nintendo 4.181515129364874; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 2001; Global_Sales_Nintendo 18.60875633205831; Average_Critic_Score_Nintendo 10.0; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 1; 
Year 2002; Global_Sales_Nintendo 20.113253385712813; Average_Critic_Score_Nintendo 8.571025195114178; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 2003; Global_Sales_Nintendo 14.90892174092836; Average_Critic_Score_Nintendo 8.43686649326569; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 2004; Global_Sales_Nintendo 26.36152176160447; Average_Critic_Score_Nintendo 7.09365997476559; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 2005; Global_Sales_Nintendo 60.22294014266515; Average_Critic_Score_Nintendo 7.639422242411716; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 2006; Global_Sales_Nintendo 100.0; Average_Critic_Score_Nintendo 7.24237332568264; Min_Max_Sales_Nintendo 1; Min_Max_Score_Nintendo 0; 
Year 2007; Global_Sales_Nintendo 48.1460250180916; Average_Critic_Score_Nintendo 6.807356956152878; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 2008; Global_Sales_Nintendo 41.45254833040423; Average_Critic_Score_Nintendo 8.190415264188076; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 2009; Global_Sales_Nintendo 60.581153726868614; Average_Critic_Score_Nintendo 8.270379697291723; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 2010; Global_Sales_Nintendo 25.962369482063483; Average_Critic_Score_Nintendo 8.334840821675392; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
Year 2011; Global_Sales_Nintendo 21.84291326372377; Average_Critic_Score_Nintendo 6.922847190693123; Min_Max_Sales_Nintendo 0; Min_Max_Score_Nintendo 0; 
