Year 1982; Global_Sales_Sega 1.0; Average_Critic_Score_Sega 1.9854014597820875; Min_Max_Sales_Sega -1; Min_Max_Score_Sega 0; 
Year 1982; Global_Sales_Sega 1.0; Average_Critic_Score_Sega 1.9854014597820875; Min_Max_Sales_Sega -1; Min_Max_Score_Sega 0; 
Year 1990; Global_Sales_Sega 6.978589074938238; Average_Critic_Score_Sega 3.3649635034770102; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 1991; Global_Sales_Sega 11.707109525116662; Average_Critic_Score_Sega 6.124087590866855; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 1992; Global_Sales_Sega 21.598956903650837; Average_Critic_Score_Sega 6.163503649258139; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 1993; Global_Sales_Sega 5.157836947570683; Average_Critic_Score_Sega 1.0; Min_Max_Sales_Sega 0; Min_Max_Score_Sega -1; 
Year 1994; Global_Sales_Sega 20.376063683777105; Average_Critic_Score_Sega 4.797585625927184; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 1995; Global_Sales_Sega 21.46307987922042; Average_Critic_Score_Sega 5.430656933691193; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 1996; Global_Sales_Sega 11.571232500686248; Average_Critic_Score_Sega 3.325547445085726; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 1997; Global_Sales_Sega 5.728520450178425; Average_Critic_Score_Sega 7.664897146520812; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 1998; Global_Sales_Sega 12.386494647268734; Average_Critic_Score_Sega 4.0125130350355835; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 1999; Global_Sales_Sega 11.76146033488883; Average_Critic_Score_Sega 7.394160582598966; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2000; Global_Sales_Sega 10.457040900356848; Average_Critic_Score_Sega 6.159920370864239; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2001; Global_Sales_Sega 17.848751029371396; Average_Critic_Score_Sega 9.211678832174329; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2002; Global_Sales_Sega 33.338731814438646; Average_Critic_Score_Sega 10.0; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 1; 
Year 2003; Global_Sales_Sega 33.963766126818555; Average_Critic_Score_Sega 7.448220802449034; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2004; Global_Sales_Sega 32.333241833653574; Average_Critic_Score_Sega 7.538842544121254; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2005; Global_Sales_Sega 31.246225638210262; Average_Critic_Score_Sega 7.247445255018436; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2006; Global_Sales_Sega 42.52401866593467; Average_Critic_Score_Sega 4.8787078728555695; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2007; Global_Sales_Sega 63.53060664287675; Average_Critic_Score_Sega 5.2352152539974295; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2008; Global_Sales_Sega 100.0; Average_Critic_Score_Sega 4.835711951471846; Min_Max_Sales_Sega 1; Min_Max_Score_Sega 0; 
Year 2009; Global_Sales_Sega 66.60142739500411; Average_Critic_Score_Sega 6.49533186171567; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2010; Global_Sales_Sega 60.459785890749394; Average_Critic_Score_Sega 5.952274003361148; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2011; Global_Sales_Sega 44.64370024704914; Average_Critic_Score_Sega 6.646924796449129; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2012; Global_Sales_Sega 24.180620367828713; Average_Critic_Score_Sega 6.262043795236347; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2013; Global_Sales_Sega 13.609387867142464; Average_Critic_Score_Sega 3.793902962788766; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2014; Global_Sales_Sega 14.614877847927533; Average_Critic_Score_Sega 6.158362423565083; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2015; Global_Sales_Sega 4.342574800988197; Average_Critic_Score_Sega 6.045255474084287; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
Year 2016; Global_Sales_Sega 2.603348888278891; Average_Critic_Score_Sega 5.248175183047579; Min_Max_Sales_Sega 0; Min_Max_Score_Sega 0; 
