0 Year 1980; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1980; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1981; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1982; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1983; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1984; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1985; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1986; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1987; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1988; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1989; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1990; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1991; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1992; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1993; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1994; Global_Sales_Ubisoft 0.0; Average_Critic_Score_Ubisoft 0.0; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1995; Global_Sales_Ubisoft 5.3288779458318665; Average_Critic_Score_Ubisoft 8.88250652690492; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1996; Global_Sales_Ubisoft 0.28139289482940555; Average_Critic_Score_Ubisoft 7.613577023061361; Min_Max_Sales_Ubisoft -1; Min_Max_Score_Ubisoft 0; 
250 Year 1997; Global_Sales_Ubisoft 0.43967639817094617; Average_Critic_Score_Ubisoft 7.895561357248818; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1998; Global_Sales_Ubisoft 0.5276116778051354; Average_Critic_Score_Ubisoft 8.78851174837246; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 1999; Global_Sales_Ubisoft 8.107632782272248; Average_Critic_Score_Ubisoft 6.529021891896505; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft -1; 
250 Year 2000; Global_Sales_Ubisoft 8.353851565247977; Average_Critic_Score_Ubisoft 8.48638567643159; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
250 Year 2001; Global_Sales_Ubisoft 8.775940907492085; Average_Critic_Score_Ubisoft 8.3523759786325; Min_Max_Sales_Ubisoft 0; Min_Max_Score_Ubisoft 0; 
