Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Boxing,2600,1980,Fighting,Activision,0.72,0.04,0,0.01,0.77,67,36,7,70,,
Bridge,2600,1980,Misc,Activision,0.25,0.02,0,0,0.27,58,46,8,23,,
Freeway,2600,1980,Action,Activision,0.32,0.02,0,0,0.34,68,33,0,59,,
Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0,0.01,0.49,0,35,4,71,,
Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0,0.01,1.15,9,63,3,85,,
Barnstorming,2600,1981,Action,Activision,0.4,0.02,0,0,0.43,28,4,8,49,,
Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0,0,0.48,94,33,5,85,,
Laser Blast,2600,1981,Action,Activision,0.37,0.02,0,0,0.39,16,58,9,64,,
Megamania,2600,1981,Shooter,Activision,1.03,0.06,0,0.01,1.1,17,8,10,51,,
Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0,0.05,4.5,87,74,10,25,,
River Raid,2600,1981,Shooter,Activision,1.49,0.09,0,0.02,1.6,70,54,8,46,,
Chopper Command,2600,1982,Shooter,Activision,0.47,0.03,0,0.01,0.5,68,54,2,30,,
Keystone Kapers,2600,1982,Action,Activision,0.62,0.04,0,0.01,0.66,54,3,8,24,,
Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0,0,0.15,34,44,9,82,,
The Activision Decathlon,2600,1982,Sports,Activision,0.52,0.03,0,0.01,0.55,34,98,8,88,,
Dolphin,2600,1983,Action,Activision,0.27,0.02,0,0,0.29,63,47,4,82,,
Frostbite,2600,1983,Action,Activision,0.32,0.02,0,0,0.34,45,30,1,91,,
Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0,0.02,1.31,56,94,10,79,,
Beamrider,2600,1984,Racing,Activision,0.26,0.01,0,0,0.27,92,96,5,90,,
Alter Ego,PC,1985,Simulation,Activision,0,0.03,0,0.01,0.03,59,9,5.8,19,"Viva Media, Viva Media, LLC",T
Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0,0,0.45,13,47,9,71,,
Commando,2600,1987,Action,Activision,0.44,0.02,0,0,0.47,95,64,4,80,,
Kung-Fu Master,2600,1987,Action,Activision,0.6,0.04,0,0.01,0.65,50,65,7,64,,
Rampage,2600,1988,Action,Activision,0.22,0.01,0,0,0.24,66,2,0,87,,
River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51,4,77,2,79,,
Double Dragon,2600,1989,Action,Activision,0.45,0.02,0,0.01,0.47,89,12,6,95,,
Warcraft: Orcs & Humans,PC,1994,Strategy,Activision,0.89,1.08,0,0.11,2.08,20,37,0,84,,
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0,0.23,4.21,4,74,7,81,,
Blast Chamber,PS,1996,Shooter,Activision,0.05,0.04,0,0.01,0.1,64,26,10,54,,
Diablo,PC,1996,Role-Playing,Activision,0.01,1.58,0,0,1.59,94,12,8.7,850,Blizzard Entertainment,M
Nightmare Creatures,N64,1996,Action,Activision,0.21,0.05,0,0,0.26,9,10,0,16,,
Magical Tetris Challenge,N64,1997,Puzzle,Activision,0.13,0.02,0.05,0,0.2,89,95,2,33,,
MechWarrior 2: 31st Century Combat,PS,1997,Simulation,Activision,0.2,0.14,0,0.02,0.36,51,79,6,19,,
Tenchu: Stealth Assassins,PS,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99,87,14,8.8,45,Acquire,M
A Bug's Life,N64,1998,Platform,Activision,0.49,0.13,0,0.01,0.63,67,88,7,45,,
A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,0.76,0.52,0,0.09,1.37,6,97,4,12,,
Apocalypse,PS,1998,Action,Activision,0.25,0.17,0,0.03,0.45,62,61,0,21,,
Civilization II,PS,1998,Strategy,Activision,0.15,0.11,0,0.02,0.28,27,12,10,3,,
Guardian's Crusade,PS,1998,Role-Playing,Activision,0.07,0.05,0,0.01,0.12,34,83,0,85,,
Pitfall 3D: Beyond the Jungle,PS,1998,Platform,Activision,0.18,0.12,0,0.02,0.33,57,7,5,7,,
Quake II,PS,1998,Shooter,Activision,0.23,0.16,0,0.03,0.41,19,67,1,0,,
Shanghai: True Valor,PS,1998,Puzzle,Activision,0.01,0.01,0,0,0.02,55,91,2,19,,
