Year_of_Release,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Critic_Score,User_Score,Global_Flag,Critic_Score_Flag
1980,Atari,7.77,0.49,0,0.09,8.36,217,200,39,3.75,0,0
1981,Atari,7.87,0.47,0,0.08,8.45,680,470,66.90909091,6.545454545,0,0
1982,Atari,18.11,1.11,0,0.21,19.43,684,564,58.28571429,3.5,0,0
1983,Atari,3.17,0.2,0,0.04,3.39,418,266,50.66666667,2,0,0
1984,Atari,0,0,0,0,0,0,0,0,0,0,0
1985,Atari,0,0,0,0,0,0,0,0,0,0,0
1986,Atari,0.63,0.04,0,0,0.66,149,114,70,3.5,0,1
1987,Atari,0.8,0.03,0,0,0.86,153,152,56.75,8.25,0,0
1988,Atari,0,0,0,0,0,0,0,0,0,0,0
1989,Atari,0.14,0.01,0,0,0.15,83,51,8,1,0,-1
1990,Atari,0,0,0,0,0,0,0,0,0,0,0
1991,Atari,0,0,0,0,0,0,0,0,0,0,0
1992,Atari,0,0,0,0,0,0,0,0,0,0,0
1993,Atari,0,0,0,0,0,0,0,0,0,0,0
1994,Atari,0,0,0,0,0,0,0,0,0,0,0
1995,Atari,0,0,0,0,0,0,0,0,0,0,0
1996,Atari,0,0,0,0,0,0,0,0,0,0,0
1997,Atari,0,0,0,0,0,0,0,0,0,0,0
1998,Atari,0.81,0.56,0,0.09,1.46,118,44,60.5,9,0,0
1999,Atari,1.27,0.86,0,0.15,2.3,348,334,65.83333333,6.666666667,0,0
2000,Atari,2.4,2.13,0.02,0.25,4.81,21,112,49.5,7.25,0,0
2001,Atari,4.32,1.88,1.49,0.33,8.05,336,209,68.44444444,8.022222222,0,0
2002,Atari,13.73,4.27,1.9,1.28,21.25,972,2091,66.9787234,6.74893617,1,0
2003,Atari,10.7,4.5,0.95,0.88,17.04,1103,1638,58.825,6.2025,0,0
2004,Atari,6.63,3.38,0.65,0.8,11.53,1075,1918,60.97435897,6.312820513,0,0
2005,Atari,4.47,1.06,2.34,0.46,8.36,1084,1300,60.63888889,6.572222222,0,0
2006,Atari,2.9,0.46,0.46,0.43,4.28,879,1383,59.73913043,6.165217391,0,0
2007,Atari,6.33,0.96,1.9,2.03,11.24,981,2566,61.61290323,6.329032258,0,0
2008,Atari,4.49,2.32,0.99,0.78,8.58,1113,3658,60.21875,6.859375,0,0
2009,Atari,2.9,0.93,0,0.62,4.46,878,1128,67.35,6.08,0,0
2010,Atari,1.27,0.02,0,0.1,1.38,551,1210,52.09090909,6.181818182,0,0
2011,Atari,0.2,0,0,0,0.22,234,259,54.8,6.8,0,0
2012,Atari,0.04,0,0,0,0.05,45,95,26,7,-1,0
2013,Atari,0,0,0,0,0,0,0,0,0,0,0
2014,Atari,0,0,0,0,0,0,0,0,0,0,0
2015,Atari,0,0,0,0,0,0,0,0,0,0,0
2016,Atari,0.08,0.02,0,0,0.11,253,190,55.4,4.28,0,0
