Year_of_Release,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Critic_Score,User_Score,Global_Flag,Critic_Score_Flag
1980,Capcom,0,0,0,0,0,0,0,0,0,0,0
1981,Capcom,0,0,0,0,0,0,0,0,0,0,0
1982,Capcom,0,0,0,0,0,0,0,0,0,0,0
1983,Capcom,0,0,0,0,0,0,0,0,0,0,0
1984,Capcom,0,0,0,0,0,0,0,0,0,0,0
1985,Capcom,0.65,0.14,0.21,0,1,31,96,62,2,0,0
1986,Capcom,1.94,0.42,1.38,1.57,5.3,176,200,83.33333333,5.666666667,0,0
1987,Capcom,0.45,0.08,0.27,0.01,0.81,23,27,60,0,0,0
1988,Capcom,1.75,0.38,0.77,0.04,2.94,72,90,40.5,1,0,-1
1989,Capcom,0.91,0.3,0.42,0.04,1.67,23,43,59,8,0,0
1990,Capcom,2.03,0.41,1.43,0.05,3.92,195,148,48.66666667,5.666666667,0,0
1991,Capcom,1.01,0.23,0.96,0.03,2.23,105,94,65.33333333,8,0,0
1992,Capcom,4.94,1.58,5.64,0.23,12.4,164,216,66,6.25,0,0
1993,Capcom,2.22,0.62,1.71,0.31,4.85,511,207,56,5.285714286,0,0
1994,Capcom,0,0,0.16,0,0.16,39,54,88,1,-1,1
1995,Capcom,0,0,0,0,0,0,0,0,0,0,0
1996,Capcom,0.44,0.3,0.55,0.06,1.34,155,197,46,7,0,0
1997,Capcom,0.88,0.59,1.63,0.17,3.28,715,401,62.91666667,4.666666667,0,0
1998,Capcom,1.04,0.91,1.59,0.2,3.74,270,407,49.14285714,4.857142857,0,0
1999,Capcom,0.43,0.3,0.1,0.05,0.88,45,79,49,7.5,0,0
2000,Capcom,0.72,0.44,0.76,0.12,2.02,151,226,71.6,6.52,0,0
2001,Capcom,3.33,2.18,1.9,0.54,7.95,359,1106,67.5,8.02,0,0
2002,Capcom,3.85,2.03,3.48,0.48,9.85,755,441,65.89473684,6.578947368,0,0
2003,Capcom,3.89,2.09,2.63,0.53,9.13,829,1263,62.96774194,6.232258065,0,0
2004,Capcom,3.05,1.94,1.31,0.51,6.86,844,704,68.30434783,6.956521739,0,0
2005,Capcom,6.19,2.57,3.57,0.8,13.18,968,2893,69.04166667,7.683333333,0,0
2006,Capcom,5.84,1.86,2.37,1.22,11.31,1288,2013,62.40740741,6.703703704,0,0
2007,Capcom,3.64,1.37,4.03,0.65,9.68,657,1145,46.47058824,4.711764706,0,0
2008,Capcom,4.21,2.24,5.42,1.29,13.18,1030,2097,62.92307692,6.415384615,0,0
2009,Capcom,9.15,5.05,3.06,2.04,19.29,664,2901,72.4,6.466666667,1,0
2010,Capcom,3.52,2.46,7.28,0.81,14.15,1020,1609,64.04545455,6.390909091,0,0
2011,Capcom,2.84,1.54,2.52,0.48,7.37,1024,1362,60.08333333,5.870833333,0,0
2012,Capcom,6.12,3.76,3.17,1.37,14.42,1038,7043,68.125,6.495833333,0,0
2013,Capcom,1.27,1.32,4.46,0.39,7.48,718,6581,66.57142857,6.404761905,0,0
2014,Capcom,0,0,0.32,0,0.32,124,271,84.75,6,0,0
2015,Capcom,0.78,0.82,3.78,0.24,5.65,616,1193,55.375,5.26875,0,0
2016,Capcom,1.02,0.53,0.85,0.28,2.72,828,2905,64.39130435,5.760869565,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
