Year_of_Release,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Critic_Score,User_Score,Global_Flag,Critic_Score_Flag
1980,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1981,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1982,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1983,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1984,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1985,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1986,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1987,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1988,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1989,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1990,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1991,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1992,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1993,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1994,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1995,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1996,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,68,3,76,7,0,0
1997,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1998,Microsoft Game Studios,0,0,0,0,0,0,0,0,0,0,0
1999,Microsoft Game Studios,0.01,0.08,0,0.01,0.09,21,801,92,9,-1,1
2000,Microsoft Game Studios,0.74,0.21,0,0.04,0.99,24,10,79,8.5,0,0
2001,Microsoft Game Studios,9.96,2.84,0.37,0.33,13.49,330,1523,68.4,7.87,0,0
2002,Microsoft Game Studios,5.16,1.48,0.07,0.21,6.96,631,1037,67.55,7.275,0,0
2003,Microsoft Game Studios,6.22,2.18,0.22,0.35,8.92,1112,1831,70.32142857,7.464285714,0,0
2004,Microsoft Game Studios,10.63,2.64,0.12,0.26,13.68,672,2060,77.23076923,7.338461538,0,0
2005,Microsoft Game Studios,3.73,1.58,0.06,0.3,5.68,684,2133,75,7.085714286,0,0
2006,Microsoft Game Studios,4.95,3.6,0.39,1.01,9.95,464,3034,70.33333333,6.566666667,0,0
2007,Microsoft Game Studios,15.62,7.34,0.4,2.59,25.99,996,8321,64.89473684,6.857894737,0,0
2008,Microsoft Game Studios,8.28,5.2,0.21,1.52,15.2,582,5929,64.2,6.9,0,0
2009,Microsoft Game Studios,9.17,4.68,0.22,1.48,15.55,445,2307,78.42857143,7.6,0,0
2010,Microsoft Game Studios,32.89,11.69,0.51,3.91,48.99,677,4511,63.16666667,6.191666667,1,0
2011,Microsoft Game Studios,12.8,6.19,0.22,1.86,21.07,604,3638,80.63636364,5.890909091,0,0
2012,Microsoft Game Studios,9.67,4.15,0.11,1.19,15.12,391,4028,74.42857143,5.685714286,0,0
2013,Microsoft Game Studios,9.96,4.96,0.07,1.45,16.41,579,4400,61.25,5.4,0,-1
2014,Microsoft Game Studios,5.81,3.91,0.07,0.92,10.71,527,3903,66.33333333,5.811111111,0,0
2015,Microsoft Game Studios,6.75,2.77,0.07,0.98,10.56,396,4250,84.2,7.3,0,0
2016,Microsoft Game Studios,1.86,1.45,0.19,0.3,3.84,472,4089,72,5.383333333,0,0
