Year_of_Release,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Critic_Score,User_Score,Global_Flag,Critic_Score_Flag
1980,Namco Bandai Games,0,0,0,0,0,0,0,0,0,0,0
1981,Namco Bandai Games,0,0,0,0,0,0,0,0,0,0,0
1982,Namco Bandai Games,0,0,0,0,0,0,0,0,0,0,0
1983,Namco Bandai Games,0,0,0,0,0,0,0,0,0,0,0
1984,Namco Bandai Games,0.45,0.14,2.81,0.03,3.43,124,80,55.66666667,8.666666667,0,0
1985,Namco Bandai Games,0,0,1.46,0,1.46,7,160,67.5,5.5,0,0
1986,Namco Bandai Games,2.07,0.45,2.69,0.07,5.28,177,73,38.5,4,0,0
1987,Namco Bandai Games,0.12,0,2.55,0,2.67,99,122,77.5,2.5,0,1
1988,Namco Bandai Games,0.1,0,2.33,0,2.43,47,61,77.5,8,0,0
1989,Namco Bandai Games,0,0,1.1,0,1.1,23,100,47,1,0,0
1990,Namco Bandai Games,0,0,0.63,0,0.63,156,122,31,7,-1,0
1991,Namco Bandai Games,0,0,1.03,0,1.03,200,98,59.66666667,2.666666667,0,0
1992,Namco Bandai Games,0,0,1.04,0,1.04,101,156,59.5,6,0,0
1993,Namco Bandai Games,0,0,5.38,0,5.38,418,483,54.125,5.5,0,0
1994,Namco Bandai Games,0,0,1.72,0,1.72,311,204,71.33333333,5,0,0
1995,Namco Bandai Games,0,0,2.49,0.03,2.52,448,644,40.18181818,5.363636364,0,0
1996,Namco Bandai Games,0,0,3.42,0.07,3.49,376,351,23.75,5.125,0,-1
1997,Namco Bandai Games,0.59,1.02,4.45,0.29,6.34,723,636,41.53846154,4,0,0
1998,Namco Bandai Games,2.06,0.72,2.77,0.31,5.86,351,463,50.88888889,7.444444444,0,0
1999,Namco Bandai Games,1.93,0.63,2.19,0.17,4.94,737,810,50.85714286,5.128571429,0,0
2000,Namco Bandai Games,2.87,2.3,3.89,0.66,9.7,394,683,65.57142857,6.142857143,0,0
2001,Namco Bandai Games,5.12,1.48,1.04,0.22,7.88,358,381,64.16666667,6.791666667,0,0
2002,Namco Bandai Games,4.45,2.14,5.56,0.8,12.98,1199,1231,52.08,5.456,0,0
2003,Namco Bandai Games,4.39,1.84,3.71,0.52,10.46,642,1014,64.17391304,6.069565217,0,0
2004,Namco Bandai Games,2.44,0.86,1.8,0.42,5.49,688,863,61.8,6.252,0,0
2005,Namco Bandai Games,6.12,4.14,2.98,1.49,14.77,1312,1844,56.3902439,6.568292683,0,0
2006,Namco Bandai Games,3.12,1.82,5.97,0.74,11.67,2270,2336,53.54545455,5.972727273,0,0
2007,Namco Bandai Games,1.34,0.37,5.59,0.24,7.51,1889,2083,45.30612245,5.955102041,0,0
2008,Namco Bandai Games,2.38,1.2,6.74,0.47,10.8,2303,2304,55.42307692,5.415384615,0,0
2009,Namco Bandai Games,5.78,2.79,6.79,1.27,16.65,2876,4992,59.33870968,5.812903226,0,0
2010,Namco Bandai Games,4.98,3.23,6.71,1.15,16.17,2843,3977,51.72857143,5.747142857,0,0
2011,Namco Bandai Games,6.35,4.18,9.7,1.47,21.68,3539,11860,53.42105263,6.05,1,0
2012,Namco Bandai Games,3.19,2.31,9.44,0.78,15.71,4144,5723,50.77647059,5.288235294,0,0
2013,Namco Bandai Games,1.51,1.38,6.32,0.53,9.74,2639,3106,55.01587302,5.758730159,0,0
2014,Namco Bandai Games,1.97,1.58,5.18,0.56,9.27,2818,7628,55.95588235,5.408823529,0,0
2015,Namco Bandai Games,3.8,5.41,5.08,1.48,15.78,3098,28706,50.60606061,5.921212121,0,0
2016,Namco Bandai Games,2.63,2.15,3.06,0.78,8.61,2052,7213,61.38,6.406,0,0
