Year_of_Release,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Critic_Score,User_Score,Global_Flag,Critic_Score_Flag
1983,Nintendo,2.32,0.46,8.1,0.08,10.96,183,314,37,5.833333333,-1,0
1984,Nintendo,32.57,1.95,10.36,0.67,45.56,496,377,43.55555556,5.444444444,0,0
1985,Nintendo,32.48,4.54,12.02,0.91,49.95,295,443,53.14285714,5.571428571,0,0
1986,Nintendo,6.73,1.73,7.45,0.26,16.18,423,422,35.16666667,5.333333333,0,0
1987,Nintendo,5.13,1.18,5.46,0.18,11.95,168,233,56.75,6.5,0,0
1988,Nintendo,21.23,6.15,8.13,0.93,36.44,292,332,60,3.333333333,0,0
1989,Nintendo,39.81,7.6,15.06,1.4,63.88,418,581,48.11111111,6.666666667,0,0
1990,Nintendo,19.75,6.42,8.08,1.22,35.49,428,399,40.42857143,3.428571429,0,0
1991,Nintendo,6.95,2.47,6.22,0.33,15.97,546,542,55.84615385,5.846153846,0,0
1992,Nintendo,18.48,6.08,12.66,0.91,38.11,631,518,66.3,4.8,0,0
1993,Nintendo,9.53,3.09,6.99,0.43,20.04,459,377,51.88888889,4,0,0
1994,Nintendo,10.96,4.19,9,0.85,24.99,440,467,65.5,4.875,0,0
1995,Nintendo,6.7,2.21,7.45,0.35,16.72,540,494,57.1,6.6,0,0
1996,Nintendo,34.54,16.31,21.14,1.7,73.7,809,1020,27.94117647,4,0,-1
1997,Nintendo,15.8,5.22,4.23,0.57,25.8,604,778,65.53846154,3.307692308,0,0
1998,Nintendo,23.42,12.27,11.32,1.39,48.41,908,625,39.11764706,3.882352941,0,0
1999,Nintendo,34.18,13.74,15.88,1.51,65.33,959,969,51.05,5.95,0,0
2000,Nintendo,15,6.42,10.53,2.07,34.05,983,1008,45.34782609,4.913043478,0,0
2001,Nintendo,23.84,8.84,11.15,1.58,45.37,820,1878,77.18181818,7.518181818,0,1
2002,Nintendo,25.05,9.89,11.9,1.48,48.31,702,3577,69.36363636,6.890909091,0,0
2003,Nintendo,20.15,7.08,9.85,1.09,38.14,1124,1619,68.62962963,7.333333333,0,0
2004,Nintendo,28.22,12.39,17.47,2.45,60.52,2515,3459,61.28070175,6.294736842,0,0
2005,Nintendo,44.76,42.31,29.5,10.05,126.69,1940,3072,64.26666667,6.595555556,0,0
2006,Nintendo,89.74,59.93,36.74,18.06,204.42,2392,5901,62.09433962,6.341509434,1,0
2007,Nintendo,42.21,32.42,19.98,8.46,103.09,1856,5902,59.71428571,6.761904762,0,0
2008,Nintendo,38.14,24.73,19.96,7.13,90.01,1451,3980,67.28125,6.25625,0,0
2009,Nintendo,52.44,35.57,29.82,9.58,127.39,1750,2840,67.71875,7.553125,0,0
2010,Nintendo,23.56,15.94,16.3,3.95,59.74,1236,4540,68.07142857,6.103571429,0,0
2011,Nintendo,20.3,14.48,13.46,3.44,51.69,1382,4893,60.34615385,6.453846154,0,0
2012,Nintendo,20.56,13.87,18.61,3.12,56.11,1355,5670,66.83870968,6.006451613,0,0
2013,Nintendo,19.09,16.81,14.45,3.13,53.48,1132,5803,61.26086957,6.469565217,0,0
2014,Nintendo,18.11,11.67,16.19,2.91,48.88,1027,6183,70.1,7.465,0,0
2015,Nintendo,9.51,7.83,8.65,1.63,27.61,1652,6964,63.84375,6.228125,0,0
2016,Nintendo,4.6,2.79,3.63,0.73,11.74,804,1946,59.85714286,6.321428571,0,0
