Year_of_Release,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Critic_Score,User_Score,Global_Flag,Critic_Score_Flag
1980,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1981,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1982,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1983,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1984,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1985,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1986,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1987,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1988,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1989,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1990,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1991,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1992,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1993,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1994,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1995,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1996,Take-Two Interactive,0,0,0,0,0,0,0,0,0,0,0
1997,Take-Two Interactive,1.11,1.43,0.04,0.14,2.72,78,238,33,2.333333333,0,-1
1998,Take-Two Interactive,2.26,2.86,0,0.33,5.45,251,401,58.83333333,5.166666667,0,0
1999,Take-Two Interactive,1.09,0.53,0,0.07,1.68,202,222,67.25,4,-1,0
2000,Take-Two Interactive,3.76,1.77,0.02,0.49,6.03,81,210,64.5,6.416666667,0,0
2001,Take-Two Interactive,11.44,6.82,0.35,1.81,20.43,287,1922,67.41666667,7.158333333,0,0
2002,Take-Two Interactive,10.98,6.72,0.49,2.1,20.28,304,2488,74.25,7.9,0,0
2003,Take-Two Interactive,6.59,3,0,0.99,10.57,622,2856,70.64285714,6.707142857,0,0
2004,Take-Two Interactive,11.4,1.44,0.41,10.85,24.11,428,1941,63.66666667,6.875,0,0
2005,Take-Two Interactive,13.51,8.41,0.24,4.05,26.22,1541,4465,66.17073171,6.929268293,0,0
2006,Take-Two Interactive,11.68,5.54,0.4,2.86,20.49,1166,5058,69,6.972727273,0,0
2007,Take-Two Interactive,12.36,5.12,0.14,2.04,19.66,962,7130,66.56756757,6.381081081,0,0
2008,Take-Two Interactive,26.39,13.53,0.71,5.22,45.86,1614,10700,65.56097561,6.443902439,0,0
2009,Take-Two Interactive,12.45,4.34,0.15,2.03,18.95,1839,4287,62.19512195,6.158536585,0,0
2010,Take-Two Interactive,20.77,10.16,0.59,4.01,35.52,1549,11277,59.48571429,6.482857143,0,0
2011,Take-Two Interactive,11.14,4.57,0.2,1.85,17.75,1339,5859,67.09677419,5.729032258,0,0
2012,Take-Two Interactive,12.67,6.02,0.31,2.22,21.25,949,14396,72.32142857,7.557142857,0,0
2013,Take-Two Interactive,25.93,17.75,1.15,7.16,51.97,635,20472,76.9375,7.30625,1,1
2014,Take-Two Interactive,14.51,11.76,0.48,4.26,30.99,497,6845,73.2,5.726666667,0,0
2015,Take-Two Interactive,8.77,4.09,0.16,2.04,15.07,679,7447,74.11764706,6.182352941,0,0
2016,Take-Two Interactive,4.11,3.2,0.09,1.16,8.58,866,6113,71.33333333,6.057142857,0,0
